title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
Birds Fly (feat. Mr. Probz),Hardwell,spotify:track:2xScjew1nGldhk7eM2qsCv,0.566,0.675,3.0,-4.602,0.0,0.0331,0.0611,0.0,0.642,0.11,122.553,207805.0,4.0,0
Yellow House,Softengine,spotify:track:0utQYjH6sVVaqnBQFj4R4J,0.577,0.845,7.0,-6.38,0.0,0.0379,0.00692,0.0,0.223,0.345,115.001,213133.0,4.0,2
Platinaa,Janne Ordén,spotify:track:6MDl3PCIz6h6ImkUpqurvE,0.633,0.695,10.0,-6.789,0.0,0.146,0.0277,0.0,0.338,0.555,165.244,183040.0,4.0,2
Rude,MAGIC!,spotify:track:6RtPijgfPKROxEzTHNRiDp,0.773,0.758,1.0,-4.993,1.0,0.0381,0.0422,0.0,0.305,0.925,144.033,224840.0,4.0,3
Maradona (kesä ´86),Teflon Brothers,spotify:track:7LpqSvZvaRtcUcSKas6dYK,0.667,0.599,5.0,-6.827,0.0,0.0486,0.012,0.0,0.12,0.681,120.038,227267.0,4.0,2
Maps,Maroon 5,spotify:track:6chdRBWviHlm7JAtwgflBP,0.743,0.717,1.0,-5.521,0.0,0.0299,0.0223,0.0,0.0678,0.88,120.025,189840.0,4.0,2
Perjantai 13.,Nikke Ankara,spotify:track:74JdLqtaJtDM6I6p282Ahh,0.526,0.84,9.0,-4.325,0.0,0.195,0.145,0.0,0.13,0.608,79.642,196280.0,4.0,2
S&M Remix,Rihanna,spotify:track:3rqe57UvA8vxlzRuiAx4P5,0.819,0.796,1.0,-3.397,1.0,0.0546,0.0609,0.0,0.0647,0.886,127.931,257293.0,4.0,3
Mr. Saxobeat - Radio Edit,Alexandra Stan,spotify:track:7e320tQuzm28o3vpHMSgjz,0.72,0.925,4.0,-4.165,0.0,0.0511,0.0276,0.000238,0.14,0.781,127.004,195105.0,4.0,2
Heartbeat,Enrique Iglesias,spotify:track:6x2w38zlkGYihidW7BpJ4m,0.568,0.892,10.0,-3.205,1.0,0.101,0.0258,0.0,0.302,0.39,129.997,256080.0,4.0,3
Catch My Breath,Kelly Clarkson,spotify:track:7kAYyzVhWr3nSqAC7CUOWK,0.691,0.946,9.0,-3.221,1.0,0.0678,0.0259,0.0,0.0897,0.517,124.021,251507.0,4.0,3
